Number,Draw Date,Prize Group
3303,2004-01-24,Starter Prize
3303,1993-01-30,Starter Prize
3303,1992-04-12,Consolation Prize
3303,1992-04-05,Third Prize
3303,1990-08-04,Starter Prize
3303,1986-10-12,Consolation Prize
3303,1986-05-31,Starter Prize
3304,2019-03-09,Starter Prize
3304,2018-09-01,Starter Prize
3304,2017-04-08,Starter Prize
3304,2016-06-18,Starter Prize
3304,2015-09-05,Third Prize
3304,2013-02-02,Second Prize
3304,2012-08-26,Consolation Prize
3304,2009-11-01,Consolation Prize
3304,2004-12-26,Starter Prize
3304,2003-01-12,Consolation Prize
3304,2000-12-31,Second Prize
3304,1990-07-28,Starter Prize
3305,2019-12-04,Starter Prize
3305,2017-10-29,Starter Prize
3305,2017-07-01,Consolation Prize
3305,2015-10-25,Consolation Prize
3305,2015-08-09,Consolation Prize
3305,2015-03-25,Starter Prize
3305,2014-07-12,Consolation Prize
3305,2014-05-25,Consolation Prize
3305,2013-07-06,Second Prize
3305,2012-03-24,Starter Prize
3305,2012-01-18,Consolation Prize
3305,2011-09-11,Second Prize
3305,2006-09-23,Starter Prize
3305,1997-07-06,Consolation Prize
3305,1996-02-18,Starter Prize
3305,1992-06-27,Starter Prize
3306,2025-01-29,Starter Prize
3306,2025-01-19,Third Prize
3306,2023-03-01,Consolation Prize
3306,2022-11-19,Consolation Prize
3306,2021-10-27,Starter Prize
3306,2019-12-29,Starter Prize
3306,2016-10-16,Starter Prize
3306,2015-07-18,Consolation Prize
3306,2014-07-26,Starter Prize
3306,2012-12-26,Starter Prize
3306,2009-09-20,Consolation Prize
3306,2005-03-26,Consolation Prize
3306,2004-12-12,Second Prize
3306,2004-07-31,Starter Prize
3306,2003-07-30,Starter Prize
3306,2002-07-10,Consolation Prize
3306,1997-04-12,Consolation Prize
3306,1993-01-24,Consolation Prize
3307,2025-01-12,Consolation Prize
3307,2022-07-23,Starter Prize
3307,2016-01-31,Consolation Prize
3307,2012-07-29,Consolation Prize
3307,2008-07-13,Starter Prize
3307,2006-04-22,Consolation Prize
3307,2006-01-01,Consolation Prize
3307,2002-08-10,Starter Prize
3307,2001-09-23,Consolation Prize
3307,1998-08-16,Starter Prize
3307,1997-06-08,Third Prize
3307,1992-10-24,Starter Prize
3307,1987-08-23,Consolation Prize
3308,2022-04-09,Second Prize
3308,2016-02-28,Starter Prize
3308,2013-05-29,Starter Prize
3308,2011-10-19,Consolation Prize
3308,2010-08-01,First Prize
3308,2010-07-10,Starter Prize
3308,2007-04-21,Starter Prize
3308,2005-04-20,Consolation Prize
3308,2002-08-31,Third Prize
3308,2001-05-13,Starter Prize
3308,2000-11-15,Consolation Prize
3308,1999-10-03,Consolation Prize
3308,1999-01-10,Consolation Prize
3308,1998-04-04,Starter Prize
3309,2018-02-10,Consolation Prize
3309,2017-08-02,Consolation Prize
3309,2016-06-29,Consolation Prize
3309,2009-01-18,Starter Prize
3309,2005-03-13,Consolation Prize
3309,2004-10-09,Starter Prize
3309,2003-01-01,Starter Prize
3309,1990-04-08,Consolation Prize
3309,1990-01-13,Starter Prize
3310,2026-01-03,First Prize
3310,2023-10-11,Consolation Prize
3310,2023-05-28,Consolation Prize
3310,2023-03-12,Consolation Prize
3310,2016-02-21,Second Prize
3310,2014-09-28,Starter Prize
3310,2014-01-12,Starter Prize
3310,2009-06-20,Starter Prize
3310,2008-09-10,Starter Prize
3310,2007-03-07,Starter Prize
3310,2007-02-28,Consolation Prize
3310,1992-06-06,Starter Prize
3310,1991-01-13,Starter Prize
3311,2025-03-01,Starter Prize
3311,2024-03-02,Starter Prize
3311,2023-05-27,Consolation Prize
3311,2022-08-07,Starter Prize
3311,2021-11-07,Consolation Prize
3311,2016-09-14,Third Prize
3311,2016-07-10,Consolation Prize
3311,2014-02-23,Consolation Prize
3311,2012-12-30,Consolation Prize
3311,2011-11-27,Starter Prize
3311,2005-10-30,Consolation Prize
3311,2002-09-01,Starter Prize
3311,2002-05-05,Starter Prize
3311,2001-12-16,Starter Prize
3311,2001-12-09,Consolation Prize
3311,2000-11-22,Consolation Prize
3311,2000-06-24,Starter Prize
3311,1996-12-21,Starter Prize
3311,1995-01-01,Starter Prize
3311,1994-03-12,Consolation Prize
3311,1990-11-04,Consolation Prize
3312,2025-05-04,Starter Prize
3312,2025-03-12,Starter Prize
3312,2023-12-16,Starter Prize
3312,2023-02-22,Consolation Prize
3312,2021-01-27,Consolation Prize
3312,2018-06-20,Second Prize
3312,2016-05-08,Starter Prize
3312,2014-02-08,Starter Prize
3312,2011-07-06,Consolation Prize
3312,2010-08-04,Consolation Prize
3312,2007-04-22,Starter Prize
3312,2002-02-10,Consolation Prize
3312,2001-05-20,Consolation Prize
3312,1999-10-16,Consolation Prize
3312,1997-01-04,Starter Prize
3312,1996-09-08,Third Prize
3312,1992-04-25,Consolation Prize
3313,2022-01-09,Consolation Prize
3313,2015-04-01,Starter Prize
3313,2010-11-06,Consolation Prize
3313,2006-01-04,Starter Prize
3313,2003-03-01,Starter Prize
3313,2001-03-11,Consolation Prize
3313,2000-09-30,Starter Prize
3313,1993-11-21,Third Prize
3313,1992-03-07,Consolation Prize
3313,1986-12-13,Starter Prize
3314,2025-07-26,Consolation Prize
3314,2025-04-27,Consolation Prize
3314,2019-10-30,Consolation Prize
3314,2016-11-13,Consolation Prize
3314,2015-07-18,Consolation Prize
3314,2014-12-24,Consolation Prize
3314,2007-06-13,Consolation Prize
3314,1999-09-25,Starter Prize
3315,2024-04-03,Starter Prize
3315,2016-12-07,Starter Prize
3315,2016-07-16,Starter Prize
3315,2016-06-25,Starter Prize
3315,2013-04-21,Consolation Prize
3315,2005-10-30,Consolation Prize
3315,2005-05-22,Starter Prize
3315,1998-03-29,Consolation Prize
3315,1994-06-26,Starter Prize
3316,2019-08-11,Consolation Prize
3316,2018-05-19,Starter Prize
3316,2016-08-24,Consolation Prize
3316,2014-04-23,Second Prize
3316,2011-11-06,Starter Prize
3316,2011-10-09,Consolation Prize
3316,2002-07-31,Consolation Prize
3316,1998-04-19,First Prize
3316,1993-04-07,Starter Prize
3316,1992-10-31,Consolation Prize
3316,1992-10-11,Starter Prize
3316,1990-08-05,Starter Prize
3316,1987-06-20,Starter Prize
3317,2025-05-21,Consolation Prize
3317,2024-03-31,Third Prize
3317,2020-03-15,Consolation Prize
3317,2016-04-30,Consolation Prize
3317,2016-03-13,Consolation Prize
3317,2015-08-05,Starter Prize
3317,2014-08-20,Consolation Prize
3317,2013-05-18,Starter Prize
3317,2010-02-13,Consolation Prize
3317,2007-09-01,Starter Prize
3317,2002-03-03,Starter Prize
3317,2000-06-18,Consolation Prize
3317,2000-04-22,Starter Prize
3317,1995-01-28,Starter Prize
3317,1992-03-07,Consolation Prize
3317,1989-10-21,Starter Prize
3317,1987-07-26,Starter Prize
3318,2012-03-24,Starter Prize
3318,2011-08-27,Starter Prize
3318,2009-01-14,Starter Prize
3318,2008-04-12,Consolation Prize
3318,2002-07-14,Consolation Prize
3318,1994-01-09,Starter Prize
3318,1992-01-05,First Prize
3318,1991-12-01,Starter Prize
3318,1991-03-10,Starter Prize
3318,1990-07-28,Consolation Prize
3318,1989-07-02,Starter Prize
3318,1986-09-06,Starter Prize
3319,2024-12-29,Consolation Prize
3319,2024-08-25,Starter Prize
3319,2021-12-26,Starter Prize
3319,2015-04-19,Second Prize
3319,2011-09-21,Starter Prize
3319,2011-01-29,Consolation Prize
3319,2010-04-14,Starter Prize
3319,2005-11-27,Starter Prize
3319,2003-11-01,Consolation Prize
3319,2002-06-30,Starter Prize
3319,2000-01-01,Starter Prize
3319,1999-11-27,Starter Prize
3319,1999-10-31,Starter Prize
3319,1996-09-07,Starter Prize
3319,1988-10-08,First Prize
3319,1988-08-27,Starter Prize
3320,2018-09-09,Consolation Prize
3320,2014-02-05,Consolation Prize
3320,2014-01-26,Consolation Prize
3320,2013-09-29,Starter Prize
3320,2009-06-20,Consolation Prize
3320,2009-06-07,Starter Prize
3320,2002-04-27,First Prize
3320,1989-10-28,Consolation Prize
3320,1989-01-07,Consolation Prize
3320,1988-08-20,Starter Prize
3321,2023-03-12,Consolation Prize
3321,2022-02-05,Consolation Prize
3321,2021-12-12,Starter Prize
3321,2021-09-05,First Prize
3321,2020-07-29,Consolation Prize
3321,2016-09-25,Starter Prize
3321,2014-11-02,Starter Prize
3321,2012-04-25,Consolation Prize
3321,2009-08-15,Starter Prize
3321,2008-05-17,Starter Prize
3321,2007-05-16,Consolation Prize
3321,2004-05-05,Starter Prize
3321,2003-07-05,Starter Prize
3321,2000-02-05,Third Prize
3321,1992-02-01,Consolation Prize
3321,1986-11-01,Consolation Prize
3322,2024-04-06,Starter Prize
3322,2021-11-28,Starter Prize
3322,2021-07-28,Starter Prize
3322,2020-11-01,Consolation Prize
3322,2017-07-09,Consolation Prize
3322,2017-06-24,Second Prize
3322,2011-11-02,Consolation Prize
3322,2002-09-08,Consolation Prize
3322,2000-02-06,Consolation Prize
3322,2000-01-08,Consolation Prize
3322,1997-11-05,Consolation Prize
3322,1994-12-24,Starter Prize
3322,1992-10-25,Starter Prize
3322,1992-04-25,Consolation Prize
3322,1991-08-25,Starter Prize
3322,1986-07-20,Starter Prize
3323,2017-04-15,Consolation Prize
3323,2015-02-22,Consolation Prize
3323,2007-04-11,Starter Prize
3323,2004-03-28,Starter Prize
3323,1989-11-26,Starter Prize
3323,1988-06-19,Starter Prize
3323,1986-11-30,Consolation Prize
3324,2024-12-15,Consolation Prize
3324,2023-10-14,Consolation Prize
3324,2023-08-12,Starter Prize
3324,2022-02-20,Starter Prize
3324,2019-10-23,Consolation Prize
3324,2018-07-21,Consolation Prize
3324,2017-08-16,Starter Prize
3324,2011-09-07,Consolation Prize
3324,2005-04-06,Third Prize
3324,2002-11-24,Consolation Prize
3324,2000-04-29,Starter Prize
3324,1999-12-19,Second Prize
3325,2025-05-10,Consolation Prize
3325,2013-10-12,Starter Prize
3325,2010-11-10,Starter Prize
3325,2009-08-05,Consolation Prize
3325,2007-04-14,Starter Prize
3325,2005-05-29,Starter Prize
3325,2001-12-01,Starter Prize
3326,2020-11-28,Consolation Prize
3326,2020-07-15,Consolation Prize
3326,2018-04-11,Starter Prize
3326,2015-01-31,Starter Prize
3326,2012-08-25,Consolation Prize
3326,2010-10-03,Consolation Prize
3326,2007-03-31,Consolation Prize
3326,2002-07-27,Starter Prize
3326,1993-12-05,Third Prize
3326,1991-09-28,Third Prize
3326,1991-06-29,Starter Prize
3327,2024-09-25,Starter Prize
3327,2021-06-19,Consolation Prize
3327,2021-02-10,Consolation Prize
3327,2016-12-31,Starter Prize
3327,2016-09-03,Starter Prize
3327,2014-08-02,Consolation Prize
3327,2014-06-07,Starter Prize
3327,2013-08-28,Starter Prize
3327,2013-03-10,First Prize
3327,2011-02-12,Third Prize
3327,2007-07-14,Consolation Prize
3327,2007-03-24,Starter Prize
3327,2003-04-30,Starter Prize
3327,2000-05-03,Starter Prize
3327,1996-06-22,Starter Prize
3328,2023-09-03,Consolation Prize
3328,2023-04-09,Second Prize
3328,2018-04-22,Consolation Prize
3328,2010-07-04,Third Prize
3328,2007-05-06,Consolation Prize
3328,2006-05-27,Starter Prize
3328,2005-04-23,Consolation Prize
3328,2004-09-26,Starter Prize
3328,2003-01-25,Second Prize
3328,1997-05-10,First Prize
3328,1994-08-14,Starter Prize
3328,1994-01-09,Starter Prize
3328,1992-06-06,Consolation Prize
3328,1991-06-01,First Prize
3328,1989-07-22,Starter Prize
3329,2024-03-20,Starter Prize
3329,2023-11-11,Consolation Prize
3329,2019-04-21,First Prize
3329,2017-07-02,Consolation Prize
3329,2013-04-13,Consolation Prize
3329,2012-06-20,Starter Prize
3329,2007-06-10,Consolation Prize
3329,2004-08-18,Starter Prize
3329,2002-04-17,Consolation Prize
3329,1997-09-13,Consolation Prize
3329,1994-11-20,Consolation Prize
3329,1993-04-04,Consolation Prize
3329,1992-05-09,Consolation Prize
3329,1987-05-02,Consolation Prize
3330,2023-09-02,Starter Prize
3330,2023-07-08,Starter Prize
3330,2020-10-18,Starter Prize
3330,2014-05-31,Starter Prize
3330,2010-01-02,Consolation Prize
3330,2008-02-06,First Prize
3330,2007-12-23,Starter Prize
3330,1995-08-06,Consolation Prize
3330,1994-11-13,Third Prize
3330,1987-12-27,Starter Prize
3331,2025-12-21,Consolation Prize
3331,2024-09-22,Starter Prize
3331,2021-05-26,Consolation Prize
3331,2016-12-03,Starter Prize
3331,2016-07-09,Starter Prize
3331,2014-02-12,Starter Prize
3331,2011-08-21,Consolation Prize
3331,2009-08-29,Starter Prize
3331,2002-01-30,Starter Prize
3331,2001-07-21,Consolation Prize
3331,1995-11-01,Starter Prize
3331,1995-03-05,Starter Prize
3331,1993-09-01,Consolation Prize
3331,1990-11-24,Starter Prize
3332,2025-08-20,Starter Prize
3332,2017-06-17,First Prize
3332,2017-06-11,Consolation Prize
3332,2016-03-05,Consolation Prize
3332,2013-02-10,Starter Prize
3332,2011-08-21,Starter Prize
3332,2010-10-20,Consolation Prize
3332,2009-03-29,Starter Prize
3332,2006-03-25,Consolation Prize
3332,2005-01-08,Consolation Prize
3332,2002-07-21,Consolation Prize
3332,1999-12-01,Consolation Prize
3332,1993-09-01,Consolation Prize
3332,1988-07-24,Starter Prize
3332,1987-04-19,Starter Prize
3333,2023-11-12,Third Prize
3333,2018-01-14,Consolation Prize
3333,2017-10-11,Starter Prize
3333,2017-06-07,Consolation Prize
3333,2016-12-24,Consolation Prize
3333,2010-08-07,First Prize
3333,2004-09-19,Consolation Prize
3333,1998-05-31,Consolation Prize
3333,1998-03-08,Starter Prize
3333,1996-06-15,First Prize
3333,1993-09-18,Starter Prize
3333,1987-07-25,Starter Prize
3334,2024-05-15,Starter Prize
3334,2023-08-26,First Prize
3334,2022-11-12,Starter Prize
3334,2021-08-04,Third Prize
3334,2017-07-22,Starter Prize
3334,2015-05-31,Starter Prize
3334,2011-07-09,Consolation Prize
3334,2005-01-15,Consolation Prize
3334,1997-07-12,Consolation Prize
3335,2023-07-16,Starter Prize
3335,2020-06-27,Consolation Prize
3335,2017-07-09,Starter Prize
3335,2014-07-19,Second Prize
3335,2013-06-19,Starter Prize
3335,2009-01-10,Consolation Prize
3335,2008-07-05,Consolation Prize
3335,2008-03-09,Starter Prize
3335,2001-11-24,Consolation Prize
3335,1999-02-20,Consolation Prize
3336,2021-05-15,Consolation Prize
3336,2017-07-08,Second Prize
3336,2014-06-08,Third Prize
3336,2013-05-05,Consolation Prize
3336,2011-08-31,Starter Prize
3336,2010-06-09,Consolation Prize
3336,2009-05-06,Third Prize
3336,2007-01-27,Starter Prize
3336,2004-04-24,Starter Prize
3336,2003-12-31,Starter Prize
3336,2001-03-31,Starter Prize
3336,2000-08-05,Starter Prize
3336,1997-11-30,Consolation Prize
3336,1996-07-06,Consolation Prize
3336,1994-04-02,First Prize
3336,1991-09-01,Consolation Prize
3336,1991-04-27,Starter Prize
3336,1990-11-10,First Prize
3336,1987-04-11,Consolation Prize
3336,1987-02-01,Consolation Prize
3337,2019-07-31,Consolation Prize
3337,2015-06-20,Consolation Prize
3337,2012-06-10,Consolation Prize
3337,2009-12-26,Starter Prize
3337,2008-04-02,Consolation Prize
3337,2005-09-25,Consolation Prize
3337,2003-05-25,Starter Prize
3337,1999-12-05,First Prize
3337,1999-08-22,Starter Prize
3337,1997-05-31,Starter Prize
3337,1996-07-27,Starter Prize
3337,1996-01-06,Consolation Prize
3337,1995-09-17,Consolation Prize
3337,1994-05-15,Consolation Prize
3337,1991-10-20,Consolation Prize
3338,2023-07-22,Consolation Prize
3338,2023-06-24,Starter Prize
3338,2018-09-05,Consolation Prize
3338,2015-12-16,Consolation Prize
3338,2009-12-02,Starter Prize
3338,2007-08-25,Starter Prize
3338,2005-05-25,Consolation Prize
3338,2004-12-22,Starter Prize
3338,2004-02-22,Starter Prize
3338,2001-06-30,Consolation Prize
3338,2001-02-10,Starter Prize
3338,2001-01-31,Consolation Prize
3338,1995-06-11,Consolation Prize
3338,1994-12-04,Consolation Prize
3338,1990-12-02,Starter Prize
3339,2016-03-20,Second Prize
3339,2016-03-19,Consolation Prize
3339,2015-11-21,Consolation Prize
3339,2013-09-15,Consolation Prize
3339,2013-06-05,Consolation Prize
3339,2013-06-05,Consolation Prize
3339,2007-11-28,Consolation Prize
3339,2007-02-24,Second Prize
3339,2001-07-29,Consolation Prize
3339,1999-06-06,Consolation Prize
3339,1993-09-19,Consolation Prize
3339,1992-11-28,Consolation Prize
3339,1990-07-14,Consolation Prize
3339,1988-06-04,Consolation Prize
3340,2020-08-29,Consolation Prize
3340,2019-08-07,Consolation Prize
3340,2010-05-15,Starter Prize
3340,2005-12-31,Consolation Prize
3340,2002-05-11,Starter Prize
3340,2002-03-02,Consolation Prize
3340,1996-05-05,Consolation Prize
3340,1994-11-06,Consolation Prize
3340,1992-09-06,Consolation Prize
3340,1992-02-23,Consolation Prize
3340,1990-09-15,Starter Prize
3341,2023-04-23,Consolation Prize
3341,2017-12-16,Consolation Prize
3341,2017-08-06,First Prize
3341,2015-11-18,Second Prize
3341,2015-09-13,Starter Prize
3341,2015-07-08,Starter Prize
3341,2009-09-20,Starter Prize
3341,2006-05-27,Consolation Prize
3341,2006-03-11,Third Prize
3341,2005-12-07,Starter Prize
3341,2004-12-19,Starter Prize
3341,1993-11-14,Starter Prize
3342,2020-02-01,Consolation Prize
3342,2019-11-16,Consolation Prize
3342,2019-01-27,Starter Prize
3342,2016-08-17,Consolation Prize
3342,2016-03-30,Consolation Prize
3342,2015-10-21,Third Prize
3342,2014-06-22,Starter Prize
3342,2012-12-16,Consolation Prize
3342,2011-03-13,Starter Prize
3342,2009-06-24,Starter Prize
3342,2009-03-28,Starter Prize
3342,2004-07-24,Starter Prize
3342,1999-05-15,First Prize
3342,1990-10-21,Starter Prize
3342,1989-03-05,Starter Prize
3343,2024-12-21,Starter Prize
3343,2022-10-05,Consolation Prize
3343,2018-02-17,Consolation Prize
3343,2014-01-22,Starter Prize
3343,2007-09-23,Consolation Prize
3343,2007-01-07,Starter Prize
3343,2006-12-23,Starter Prize
3343,2005-09-14,Consolation Prize
3343,2005-07-13,Consolation Prize
3343,2005-02-23,Consolation Prize
3343,2002-01-23,Starter Prize
3343,2001-11-03,Third Prize
3343,2001-02-14,Consolation Prize
3343,1999-02-20,Starter Prize
3343,1995-11-18,Consolation Prize
3343,1993-05-29,Consolation Prize
3343,1988-01-16,Starter Prize
3344,2025-03-01,Starter Prize
3344,2023-09-16,Consolation Prize
3344,2023-07-16,Starter Prize
3344,2020-11-29,Third Prize
3344,2020-01-26,Consolation Prize
3344,2019-08-07,Consolation Prize
3344,2018-04-08,Consolation Prize
3344,2015-09-30,Consolation Prize
3344,2013-12-08,Consolation Prize
3344,2013-04-06,Starter Prize
3344,2001-01-13,Starter Prize
3344,1990-10-21,First Prize
3345,2025-07-27,Consolation Prize
3345,2023-09-16,Starter Prize
3345,2023-04-09,Starter Prize
3345,2022-06-15,Starter Prize
3345,2021-05-22,Consolation Prize
3345,2016-10-30,Consolation Prize
3345,2016-03-09,Starter Prize
3345,2012-01-28,Starter Prize
3345,2010-01-16,Consolation Prize
3345,2008-10-26,Starter Prize
3345,2007-05-13,Starter Prize
3345,2000-05-20,Starter Prize
3345,1992-01-26,Starter Prize
3346,2018-01-03,Third Prize
3346,2017-04-16,Second Prize
3346,2012-04-04,Third Prize
3346,2008-09-06,Consolation Prize
3346,2007-10-31,Starter Prize
3346,2002-06-05,Consolation Prize
3346,1990-09-09,Starter Prize
3346,1989-01-14,Consolation Prize
3347,2024-05-05,Consolation Prize
3347,2024-02-17,Consolation Prize
3347,2020-09-19,Starter Prize
3347,2017-07-15,Consolation Prize
3347,2012-04-25,Starter Prize
3347,2010-05-23,Consolation Prize
3347,2009-08-19,Starter Prize
3347,2008-09-24,Consolation Prize
3347,2008-04-16,Starter Prize
3347,2006-10-18,Starter Prize
3347,2004-10-31,Starter Prize
3347,1997-06-22,Consolation Prize
3347,1994-02-19,Consolation Prize
3347,1992-01-11,Third Prize
3347,1991-10-05,Starter Prize
3347,1991-02-23,Second Prize
3348,2021-11-21,Consolation Prize
3348,2021-04-18,Consolation Prize
3348,2017-03-22,Starter Prize
3348,2007-11-11,Consolation Prize
3348,2006-08-30,Consolation Prize
3348,2006-03-15,Consolation Prize
3348,2006-01-22,Starter Prize
3348,2000-07-08,Consolation Prize
3348,1999-11-20,Starter Prize
3348,1996-05-12,Starter Prize
3349,2024-08-03,Starter Prize
3349,2019-03-31,Starter Prize
3349,2014-05-03,First Prize
3349,2011-03-26,Consolation Prize
3349,2008-05-11,Consolation Prize
3349,2006-02-19,Consolation Prize
3349,2005-05-08,Consolation Prize
3349,2004-07-14,Starter Prize
3349,2004-01-17,Starter Prize
3349,2003-11-15,Consolation Prize
3349,1999-01-17,Starter Prize
3349,1997-05-25,Second Prize
3349,1994-07-03,Starter Prize
3349,1988-12-03,Starter Prize
3350,2024-12-15,Consolation Prize
3350,2023-05-31,Starter Prize
3350,2019-11-24,Starter Prize
3350,2019-06-15,Starter Prize
3350,2016-07-20,Consolation Prize
3350,2009-06-10,Consolation Prize
3350,2007-05-09,First Prize
3350,2000-08-02,Starter Prize
3350,1999-04-07,Consolation Prize
3351,2023-04-30,Starter Prize
3351,2019-08-18,Consolation Prize
3351,2017-03-25,Second Prize
3351,2015-07-01,Consolation Prize
3351,2015-06-07,Starter Prize
3351,2008-11-29,Consolation Prize
3351,2002-06-16,Consolation Prize
3351,1999-12-25,Consolation Prize
3351,1997-09-13,Consolation Prize
3352,2022-08-07,Consolation Prize
3352,2018-05-23,Consolation Prize
3352,2018-04-28,Third Prize
3352,2015-09-23,Starter Prize
3352,2015-07-08,Starter Prize
3352,2014-03-02,Starter Prize
3352,2010-08-15,Consolation Prize
3352,2010-05-01,Consolation Prize
3352,2009-04-26,Starter Prize
3352,2008-12-03,Consolation Prize
3352,2004-09-18,Starter Prize
3352,2004-04-17,Consolation Prize
3352,2000-12-30,Consolation Prize
3352,1999-11-27,Consolation Prize
3352,1999-11-27,First Prize
3352,1998-08-05,First Prize
3352,1996-09-04,Consolation Prize
3352,1989-05-13,Starter Prize
3352,1987-07-05,Third Prize
3353,2024-10-06,Consolation Prize
3353,2020-08-05,Starter Prize
3353,2015-03-29,Starter Prize
3353,2012-12-19,Third Prize
3353,2010-11-13,Consolation Prize
3353,2007-04-11,Starter Prize
3353,2000-08-20,Consolation Prize
3353,2000-02-02,Starter Prize
3353,1999-03-03,Consolation Prize
3353,1996-06-08,Starter Prize
3353,1996-05-26,Consolation Prize
3353,1994-10-05,Consolation Prize
3353,1988-12-17,Starter Prize
3353,1986-12-28,Third Prize
3354,2025-06-22,Consolation Prize
3354,2024-02-28,Consolation Prize
3354,2023-01-01,Consolation Prize
3354,2021-03-03,Consolation Prize
3354,2018-07-08,Starter Prize
3354,2018-07-07,Consolation Prize
3354,2017-09-03,Starter Prize
3354,2014-07-12,Starter Prize
3354,2013-02-10,Consolation Prize
3354,2013-01-20,Consolation Prize
3354,2011-01-05,First Prize
3354,2005-09-14,Consolation Prize
3354,2000-11-18,Consolation Prize
3354,2000-10-15,Starter Prize
3354,1999-06-06,Consolation Prize
3354,1994-01-29,First Prize
3355,2023-08-05,Consolation Prize
3355,2022-04-23,Consolation Prize
3355,2018-11-21,Starter Prize
3355,2018-09-19,Consolation Prize
3355,2017-09-06,Starter Prize
3355,2012-09-05,Starter Prize
3355,2011-09-10,Consolation Prize
3355,2011-05-04,Consolation Prize
3355,2008-02-20,Consolation Prize
3355,2006-05-06,Consolation Prize
3355,2004-03-28,Starter Prize
3355,2003-01-18,Consolation Prize
3355,2001-03-17,Starter Prize
3355,2000-01-23,Consolation Prize
3355,1996-10-20,Consolation Prize
3355,1996-04-03,Second Prize
3356,2025-03-12,Consolation Prize
3356,2021-12-22,Consolation Prize
3356,2021-02-06,Starter Prize
3356,2018-06-27,Consolation Prize
3356,2017-05-28,Starter Prize
3356,2012-10-31,Starter Prize
3356,2005-03-27,Starter Prize
3356,2000-08-06,Starter Prize
3356,1997-11-23,Consolation Prize
3356,1995-05-21,Consolation Prize
3356,1989-12-02,Consolation Prize
3356,1989-01-28,Consolation Prize
3356,1987-11-29,Consolation Prize
3357,2025-01-19,Consolation Prize
3357,2019-11-20,Consolation Prize
3357,2018-11-14,Starter Prize
3357,2014-09-13,Consolation Prize
3357,2014-03-29,Starter Prize
3357,2013-12-22,Consolation Prize
3357,2012-06-23,Starter Prize
3357,2008-01-13,Starter Prize
3357,2004-08-28,Starter Prize
3357,2003-12-28,Consolation Prize
3357,1996-06-08,Starter Prize
3358,2019-02-17,First Prize
3358,2014-07-16,Consolation Prize
3358,2014-02-01,Starter Prize
3358,2013-01-30,Consolation Prize
3358,2008-12-13,Starter Prize
3358,2007-11-04,Consolation Prize
3358,2006-05-17,Consolation Prize
3358,2005-08-07,Starter Prize
3358,2002-05-18,Consolation Prize
3358,2000-02-20,Consolation Prize
3358,1995-09-23,Third Prize
3359,2025-05-18,Consolation Prize
3359,2020-09-23,First Prize
3359,2020-08-26,Consolation Prize
3359,2017-03-11,Starter Prize
3359,2016-07-30,Consolation Prize
3359,2015-01-03,Consolation Prize
3359,2013-06-09,Consolation Prize
3359,2012-10-21,Consolation Prize
3359,2011-08-03,Starter Prize
3359,2006-01-15,Second Prize
3359,2005-04-27,Starter Prize
3359,2002-05-15,Consolation Prize
3359,1998-02-15,Starter Prize
3359,1996-11-16,Starter Prize
3359,1996-09-14,Starter Prize
3359,1996-08-03,Consolation Prize
3359,1996-07-28,Consolation Prize
3359,1991-06-30,Consolation Prize
3359,1990-11-25,Consolation Prize
3359,1986-12-20,Consolation Prize
3359,1986-06-29,Consolation Prize
3360,2022-06-12,Starter Prize
3360,2019-08-11,Consolation Prize
3360,2018-04-25,Consolation Prize
3360,2017-11-11,Starter Prize
3360,2014-11-30,Starter Prize
3360,1995-04-09,Consolation Prize
3361,2025-09-24,Starter Prize
3361,2021-06-19,First Prize
3361,2016-06-11,Consolation Prize
3361,2012-02-26,Starter Prize
3361,2010-07-21,Consolation Prize
3361,2007-07-01,Consolation Prize
3361,2005-12-28,Consolation Prize
3361,2003-12-28,Consolation Prize
3361,2000-02-06,Consolation Prize
3361,1997-12-20,Consolation Prize
3361,1995-10-07,Consolation Prize
3362,2020-08-01,Starter Prize
3362,2016-01-02,Consolation Prize
3362,2013-04-10,Third Prize
3362,2007-02-07,Consolation Prize
3362,2005-09-21,Consolation Prize
3362,2002-10-05,Second Prize
3362,2002-08-31,Starter Prize
3362,1999-09-01,Consolation Prize
3362,1998-03-14,Starter Prize
3362,1997-06-15,Starter Prize
3362,1997-03-09,Consolation Prize
3362,1994-11-02,Starter Prize
3362,1991-11-03,Starter Prize
3363,2023-07-05,Starter Prize
3363,2017-08-26,First Prize
3363,2015-11-14,Starter Prize
3363,2015-01-18,Consolation Prize
3363,2014-03-19,Starter Prize
3363,2013-06-30,Consolation Prize
3363,2013-02-24,Consolation Prize
3363,2012-01-11,Second Prize
3363,1999-01-10,Third Prize
3363,1997-04-26,Consolation Prize
3363,1997-02-02,Starter Prize
3363,1994-04-30,Consolation Prize
3363,1993-08-15,Consolation Prize
3363,1989-12-23,Starter Prize
3363,1987-03-21,Consolation Prize
3364,2025-10-08,Starter Prize
3364,2025-05-04,Consolation Prize
3364,2018-12-01,Second Prize
3364,2017-04-08,Starter Prize
3364,2010-10-13,Starter Prize
3364,2002-12-28,Second Prize
3364,2002-02-02,Consolation Prize
3364,2001-12-05,Consolation Prize
3364,2000-10-25,Consolation Prize
3364,2000-08-06,Third Prize
3364,1996-12-15,Consolation Prize
3364,1990-03-10,Consolation Prize
3365,2023-11-29,Starter Prize
3365,2022-11-06,Consolation Prize
